moisture,irrigation_needed
2200,0
2615,0
2132,0
2206,0
2685,0
1708,1
1914,1
2184,0
1663,1
2044,0
2695,0
2615,0
1614,1
1620,1
2826,0
1697,1
1885,1
2542,0
2724,0
1511,1
1819,1
1594,1
2263,0
2797,0
1904,1
2030,0
2598,0
1972,1
2916,0
1691,1
1592,1
1717,1
2960,0
2122,0
2368,0
2173,0
2564,0
1991,1
1837,1
1561,1
2038,0
1948,1
2383,0
2185,0
2082,0
2053,0
2097,0
1568,1
1739,1
2438,0
2930,0
1616,1
1581,1
2538,0
2923,0
2656,0
2435,0
2138,0
2542,0
2564,0
2680,0
1752,1
2884,0
1897,1
2753,0
2922,0
2193,0
2616,0
2288,0
1943,1
1773,1
2231,0
2947,0
1959,1
1713,1
2924,0
1803,1
2396,0
2167,0
2545,0
2321,0
1934,1
2844,0
1619,1
1835,1
2008,0
2947,0
1881,1
2358,0
2908,0
1954,1
1802,1
1657,1
2689,0
1524,1
2794,0
1563,1
2423,0
1727,1
1679,1
1676,1
2427,0
1926,1
2955,0
2010,0
2549,0
3000,0
2990,0
2097,0
2965,0
2797,0
2173,0
2495,0
2994,0
1995,1
1792,1
2928,0
2586,0
2298,0
2682,0
2112,0
1972,1
2259,0
2682,0
1677,1
2612,0
1782,1
2833,0
2899,0
2759,0
1502,1
1614,1
1975,1
1740,1
2354,0
2627,0
2391,0
2938,0
2858,0
2491,0
1744,1
1631,1
2179,0
2432,0
2894,0
1988,1
2757,0
1662,1
2819,0
2192,0
2934,0
2677,0
2018,0
1956,1
1956,1
3000,0
2113,0
1778,1
1504,1
1574,1
1527,1
2680,0
1982,1
1643,1
2061,0
2863,0
1688,1
1905,1
1654,1
1579,1
2671,0
1730,1
2577,0
1536,1
2485,0
2059,0
2332,0
1671,1
1559,1
2385,0
1769,1
1508,1
2050,0
2482,0
2530,0
2066,0
1795,1
1992,1
2328,0
2786,0
2753,0
1544,1
2402,0
1844,1
2385,0
2156,0
1561,1
2428,0
2675,0
2122,0
2617,0
2497,0
2323,0
1558,1
1798,1
2204,0
2680,0
2430,0
1906,1
1845,1
2455,0
2315,0
2817,0
2259,0
2208,0
2020,0
1863,1
1763,1
2496,0
1732,1
1872,1
1559,1
1752,1
2347,0
1808,1
2196,0
2060,0
1722,1
2456,0
2768,0
2812,0
2647,0
1946,1
2577,0
2886,0
2338,0
2747,0
2993,0
2465,0
1594,1
2299,0
2581,0
2256,0
2933,0
2112,0
1657,1
2660,0
2222,0
2049,0
2029,0
2064,0
2033,0
1852,1
2990,0
2342,0
2972,0
2668,0
2185,0
1689,1
2202,0
1522,1
2200,0
2805,0
2232,0
1821,1
1842,1
2289,0
2706,0
2492,0
1637,1
1511,1
2445,0
2506,0
2555,0
1765,1
1988,1
1651,1
2789,0
1523,1
2513,0
2748,0
2927,0
1717,1
1529,1
2347,0
2871,0
2754,0
2466,0
2866,0
1876,1
1720,1
2839,0
2491,0
1546,1
2800,0
2008,0
1916,1
1800,1
2297,0
2525,0
